PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
109,0,0,0.429,-1032.226,1926.399,0,0,0,0
110,0,0,0.422,-1031.646,1926.419,0,0,0,0
111,0,0,0.433,-1031.079,1926.415,0,0,0,0
112,0,0,0.428,-1030.547,1926.445,0,0,0,0
113,0,0,0.429,-1029.973,1926.472,0,0,0,0
114,0,0,0.425,-1029.429,1926.479,0,0,0,0
115,0,0,0.435,-1028.877,1926.502,0,0,0,0
116,0,0,0.426,-1028.324,1926.528,0,0,0,0
117,0,0,0.419,-1027.757,1926.536,0,0,0,0
118,0,0,0.421,-1027.211,1926.57,0,0,0,0
119,0,0,0.417,-1026.679,1926.571,0,0,0,0
120,0,0,0.419,-1026.083,1926.596,0,0,0,0
121,0,0,0.418,-1025.54,1926.604,0,0,0,0
122,0,0,0.411,-1024.977,1926.619,0,0,0,0
123,0,0,0.416,-1024.438,1926.635,0,0,0,0
124,0,0,0.423,-1023.863,1926.66,0,0,0,0
125,0,0,0.41,-1023.3,1926.682,0,0,0,0
126,0,0,0.421,-1022.741,1926.702,0,0,0,0
127,0,0,0.406,-1022.194,1926.713,0,0,0,0
128,0,0,0.422,-1021.639,1926.739,0,0,0,0
129,0,0,0.42,-1021.066,1926.743,0,0,0,0
130,0,0,0.421,-1020.522,1926.784,0,0,0,0
131,0,0,0.423,-1019.943,1926.801,0,0,0,0
132,0,0,0.422,-1019.396,1926.829,0,0,0,0
133,0,0,0.423,-1018.834,1926.827,0,0,0,0
134,0,0,0.415,-1018.286,1926.864,0,0,0,0
135,0,0,0.418,-1017.713,1926.875,0,0,0,0
136,0,0,0.413,-1017.157,1926.887,0,0,0,0
137,0,0,0.415,-1016.614,1926.931,0,0,0,0
138,0,0,0.409,-1016.031,1926.951,0,0,0,0
139,0,0,0.412,-1015.493,1926.965,0,0,0,0
140,0,0,0.41,-1014.939,1926.96,0,0,0,0
141,0,0,0.407,-1014.393,1927.005,0,0,0,0
142,0,0,0.403,-1013.824,1927.022,0,0,0,0
143,0,0,0.395,-1013.261,1927.045,0,0,0,0
144,0,0,0.4,-1012.7,1927.053,0,0,0,0
145,0,0,0.392,-1012.148,1927.092,0,0,0,0
146,0,0,0.383,-1011.582,1927.111,0,0,0,0
147,0,0,0.389,-1011.017,1927.113,0,0,0,0
148,0,0,0.378,-1010.46,1927.119,0,0,0,0
149,0,0,0.384,-1009.888,1927.152,0,0,0,0
150,0,0,0.373,-1009.341,1927.179,0,0,0,0
151,0,0,0.367,-1008.765,1927.196,0,0,0,0
152,0,0,0.361,-1008.224,1927.221,0,0,0,0
153,0,0,0.353,-1007.659,1927.254,0,0,0,0
154,0,0,0.34,-1007.101,1927.241,0,0,0,0
155,0,0,0.345,-1006.536,1927.287,0,0,0,0
156,0,0,0.339,-1005.98,1927.291,0,0,0,0
157,0,0,0.329,-1005.433,1927.318,0,0,0,0
158,0,0,0.33,-1004.878,1927.35,0,0,0,0
159,0,0,0.323,-1004.304,1927.349,0,0,0,0
160,0,0,0.32,-1003.739,1927.367,0,0,0,0
161,0,0,0.31,-1003.197,1927.392,0,0,0,0
162,0,0,0.302,-1002.643,1927.406,0,0,0,0
163,0,0,0.294,-1002.064,1927.402,0,0,0,0
164,0,0,0.294,-1001.527,1927.443,0,0,0,0
165,0,0,0.286,-1000.971,1927.449,0,0,0,0
166,0,0,0.283,-1000.423,1927.483,0,0,0,0
167,0,0,0.27,-999.854,1927.491,0,0,0,0
168,0,0,0.262,-999.313,1927.503,0,0,0,0
169,0,0,0.261,-998.745,1927.541,0,0,0,0
170,0,0,0.252,-998.177,1927.536,0,0,0,0
171,0,0,0.241,-997.634,1927.557,0,0,0,0
172,0,0,0.242,-997.08,1927.603,0,0,0,0
173,0,0,0.229,-996.52,1927.59,0,0,0,0
174,0,0,0.24,-995.935,1927.633,0,0,0,0
175,0,0,0.228,-995.412,1927.619,0,0,0,0
176,0,0,0.223,-994.844,1927.643,0,0,0,0
177,0,0,0.209,-994.271,1927.674,0,0,0,0
178,0,0,0.219,-993.712,1927.7,0,0,0,0
179,0,0,0.211,-993.163,1927.702,0,0,0,0
180,0,0,0.205,-992.623,1927.738,0,0,0,0
181,0,0,0.207,-992.041,1927.739,0,0,0,0
182,0,0,0.198,-991.503,1927.774,0,0,0,0
183,0,0,0.189,-990.937,1927.77,0,0,0,0
184,0,0,0.183,-990.4,1927.779,0,0,0,0
185,0,0,0.178,-989.817,1927.816,0,0,0,0
186,0,0,0.176,-989.282,1927.826,0,0,0,0
187,0,0,0.166,-988.718,1927.848,0,0,0,0
188,0,0,0.159,-988.162,1927.842,0,0,0,0
189,0,0,0.16,-987.597,1927.886,0,0,0,0
190,0,0,0.152,-987.055,1927.911,0,0,0,0
191,0,0,0.148,-986.504,1927.921,0,0,0,0
192,0,0,0.138,-985.919,1927.929,0,0,0,0
193,0,0,0.143,-985.374,1927.96,0,0,0,0
194,0,0,0.134,-984.825,1927.959,0,0,0,0
195,0,0,0.134,-984.251,1927.981,0,0,0,0
196,0,0,0.133,-983.714,1928.008,0,0,0,0
197,0,0,0.13,-983.146,1928.007,0,0,0,0
198,0,0,0.12,-982.626,1928.022,0,0,0,0
199,0,0,0.119,-982.031,1928.036,0,0,0,0
200,0,0,0.111,-981.491,1928.071,0,0,0,0
201,0,0,0.106,-980.935,1928.044,0,0,0,0
202,0,0,0.098,-980.38,1928.1,0,0,0,0
203,0,0,0.094,-979.802,1928.119,0,0,0,0
204,0,0,0.081,-979.266,1928.137,0,0,0,0
205,0,0,0.081,-978.723,1928.154,0,0,0,0
206,0,0,0.077,-978.13,1928.148,0,0,0,0
207,0,0,0.078,-977.596,1928.195,0,0,0,0
208,0,0,0.065,-977.04,1928.192,0,0,0,0
209,0,0,0.064,-976.481,1928.213,0,0,0,0
210,0,0,0.058,-975.905,1928.219,0,0,0,0
211,0,0,0.055,-975.392,1928.239,0,0,0,0
212,0,0,0.051,-974.829,1928.224,0,0,0,0
213,0,0,0.05,-974.254,1928.253,0,0,0,0
214,0,0,0.046,-973.711,1928.291,0,0,0,0
215,0,0,0.038,-973.156,1928.286,0,0,0,0
