#,H(m),Lat(rad),Long(rad)
Start,39.8234372737,37.5744137356,126.889692635
Add,55.1349317068,37.5740670111,126.891595385
Add,38.8206847973,37.5775602163,126.891785603
Add,37.8196089085,37.5789994075,126.891403057
Add,37.6385295905,37.5810603719,126.889040503
Add,37.4878045191,37.5824443847,126.883617296
End,40.7973394058,37.5846016749,126.884042571
