#,H(m),Lat(rad),Long(rad)
Start,39.8239803497,37.5744188472,126.889699014
Add,62.5902266018,37.574008443,126.891925186
Add,38.0462282754,37.5812227849,126.892235771
Add,38.5769393375,37.5840834685,126.88332583
End,38.2138369816,37.5829607965,126.886306358
